"seq","gubun","confCase","confCaseRate","death","deathRate","criticalRate","createDt","updateDt"
1,"남성",3905,"39.9",82,"50.62","2.1","2020-04-02 19:02:48.48",
2,"여성",5881,"60.1",80,"49.38","1.36","2020-04-02 19:02:48.48",
3,"80 이상",442,"4.52",82,"50.62","18.55","2020-04-02 19:02:48.48",
4,"70-79",651,"6.65",46,"28.4","7.07","2020-04-02 19:02:48.48",
5,"60-69",1235,"12.62",22,"13.58","1.78","2020-04-02 19:02:48.48",
6,"50-59",1851,"18.91",10,"6.17","0.54","2020-04-02 19:02:48.48",
7,"40-49",1312,"13.41",1,"0.62","0.08","2020-04-02 19:02:48.48",
8,"30-39",1012,"10.34",1,"0.62","0.1","2020-04-02 19:02:48.48",
9,"20-29",2656,"27.14",,,,"2020-04-02 19:02:48.48",
10,"10-19",515,"5.26",,,,"2020-04-02 19:02:48.48",
11,"0-9",112,"1.14",,,,"2020-04-02 19:02:48.48",
12,"남성",4138,"40.05",101,"52.60","2.44","2020-04-07 19:32:08.08",
13,"여성",6193,"59.95",91,"47.40","1.47","2020-04-07 19:32:08.08",
14,"80 이상",466,"4.51",93,"48.44","19.96","2020-04-07 19:32:08.08",
15,"70-79",689,"6.67",57,"29.69","8.27","2020-04-07 19:32:08.08",
16,"60-69",1304,"12.62",26,"13.54","1.99","2020-04-07 19:32:08.08",
17,"50-59",1909,"18.48",13,"6.77","0.68","2020-04-07 19:32:08.08",
18,"40-49",1382,"13.38",2,"1.04","0.14","2020-04-07 19:32:08.08",
19,"30-39",1092,"10.57",1,"0.52","0.09","2020-04-07 19:32:08.08",
20,"20-29",2819,"27.29",,,,"2020-04-07 19:32:08.08",
21,"10-19",544,"5.27",,,,"2020-04-07 19:32:08.08",
22,"0-9",126,"1.22",,,,"2020-04-07 19:32:08.08",
23,"0-11",1,"1",1,"1","1","2020-04-07 20:10:50.50",
24,"남성",4163,"40.09",106,"53.00","2.55","2020-04-08 10:55:38.38",
25,"여성",6221,"59.91",94,"47.00","1.51","2020-04-08 10:55:38.38",
26,"80 이상",470,"4.53",96,"48.00","20.43","2020-04-08 10:55:38.38",
27,"70-79",692,"6.66",60,"30.00","8.67","2020-04-08 10:55:38.38",
28,"60-69",1312,"12.63",27,"13.50","2.06","2020-04-08 10:55:38.38",
29,"50-59",1915,"18.44",13,"6.50","0.68","2020-04-08 10:55:38.38",
30,"40-49",1387,"13.36",3,"1.50","0.22","2020-04-08 10:55:38.38",
31,"30-39",1102,"10.61",1,"0.50","0.09","2020-04-08 10:55:38.38",
32,"20-29",2832,"27.27",,"0.00",,"2020-04-08 10:55:38.38",
33,"10-19",548,"5.28",,"0.00",,"2020-04-08 10:55:38.38",
34,"0-9",126,"1.21",,"0.00",,"2020-04-08 10:55:38.38",
35,"남성",4163,"40.09",106,"53","2.55","2020-04-08 10:56:57.57",
36,"여성",6221,"59.91",94,"47","1.51","2020-04-08 10:56:57.57",
37,"80 이상",470,"4.53",96,"48","20.43","2020-04-08 10:56:57.57",
38,"70-79",692,"6.66",60,"30","8.67","2020-04-08 10:56:57.57",
39,"60-69",1312,"12.63",27,"13.5","2.06","2020-04-08 10:56:57.57",
40,"50-59",1915,"18.44",13,"6.5","0.68","2020-04-08 10:56:57.57",
41,"40-49",1387,"13.36",3,"1.5","0.22","2020-04-08 10:56:57.57",
42,"30-39",1102,"10.61",1,"0.5","0.09","2020-04-08 10:56:57.57",
43,"20-29",2832,"27.27",,,,"2020-04-08 10:56:57.57",
44,"10-19",548,"5.28",,,,"2020-04-08 10:56:57.57",
45,"0-9",126,"1.21",,,,"2020-04-08 10:56:57.57",
46,"남성",4163,"40.09",106,"53.00","2.55","2020-04-08 10:58:36.36",
47,"여성",6221,"59.91",94,"47.00","1.51","2020-04-08 10:58:36.36",
48,"80 이상",470,"4.53",96,"48.00","20.43","2020-04-08 10:58:36.36",
49,"70-79",692,"6.66",60,"30.00","8.67","2020-04-08 10:58:36.36",
50,"60-69",1312,"12.63",27,"13.50","2.06","2020-04-08 10:58:36.36",
51,"50-59",1915,"18.44",13,"6.50","0.68","2020-04-08 10:58:36.36",
52,"40-49",1387,"13.36",3,"1.50","0.22","2020-04-08 10:58:36.36",
53,"30-39",1102,"10.61",1,"0.50","0.09","2020-04-08 10:58:36.36",
54,"20-29",2832,"27.27",,"0.00",,"2020-04-08 10:58:36.36",
55,"10-19",548,"5.28",,"0.00",,"2020-04-08 10:58:36.36",
56,"0-9",126,"1.21",,"0.00",,"2020-04-08 10:58:36.36",
58,"남성",4163,"40.09",106,"53.00","2.55","2020-04-08 11:33:25.25",
59,"여성",6221,"59.91",94,"47.00","1.51","2020-04-08 11:33:25.25",
60,"80 이상",470,"4.53",96,"48.00","20.43","2020-04-08 11:33:25.25",
61,"70-79",692,"6.66",60,"30.00","8.67","2020-04-08 11:33:25.25",
62,"60-69",1312,"12.63",27,"13.50","2.06","2020-04-08 11:33:25.25",
63,"50-59",1915,"18.44",13,"6.50","0.68","2020-04-08 11:33:25.25",
64,"40-49",1387,"13.36",3,"1.50","0.22","2020-04-08 11:33:25.25",
65,"30-39",1102,"10.61",1,"0.50","0.09","2020-04-08 11:33:25.25",
66,"20-29",2832,"27.27",,"0.00",,"2020-04-08 11:33:25.25",
67,"10-19",548,"5.28",,"0.00",,"2020-04-08 11:33:25.25",
68,"0-9",126,"1.21",,"0.00",,"2020-04-08 11:33:25.25",
69,"남성",4163,"40.09",106,"53.00","2.55","2020-04-08 11:34:40.40",
70,"여성",6221,"59.91",94,"47.00","1.51","2020-04-08 11:34:40.40",
71,"80 이상",470,"4.53",96,"48.00","20.43","2020-04-08 11:34:40.40",
72,"70-79",692,"6.66",60,"30.00","8.67","2020-04-08 11:34:40.40",
73,"60-69",1312,"12.63",27,"13.50","2.06","2020-04-08 11:34:40.40",
74,"50-59",1915,"18.44",13,"6.50","0.68","2020-04-08 11:34:40.40",
75,"40-49",1387,"13.36",3,"1.50","0.22","2020-04-08 11:34:40.40",
76,"30-39",1102,"10.61",1,"0.50","0.09","2020-04-08 11:34:40.40",
77,"20-29",2832,"27.27",,"0.00",,"2020-04-08 11:34:40.40",
78,"10-19",548,"5.28",,"0.00",,"2020-04-08 11:34:40.40",
79,"0-9",126,"1.21",,"0.00",,"2020-04-08 11:34:40.40",
80,"남성",4185,"40.15",107,"52.45","2.56","2020-04-09 10:23:55.55",
81,"여성",6238,"59.85",97,"47.55","1.55","2020-04-09 10:23:55.55",
82,"80 이상",473,"4.54",100,"49.02","21.14","2020-04-09 10:23:55.55",
83,"70-79",692,"6.64",60,"29.41","8.67","2020-04-09 10:23:55.55",
84,"60-69",1314,"12.61",27,"13.24","2.05","2020-04-09 10:23:55.55",
85,"50-59",1917,"18.39",13,"6.37","0.68","2020-04-09 10:23:55.55",
86,"40-49",1394,"13.37",3,"1.47","0.22","2020-04-09 10:23:55.55",
87,"30-39",1109,"10.64",1,"0.49","0.09","2020-04-09 10:23:55.55",
88,"20-29",2844,"27.29",,"0.00",,"2020-04-09 10:23:55.55",
89,"10-19",552,"5.3",,"0.00",,"2020-04-09 10:23:55.55",
90,"0-9",128,"1.23",,"0.00",,"2020-04-09 10:23:55.55",
91,"남성",4200,"40.19",109,"52.40","2.6","2020-04-10 10:17:34.34",
92,"여성",6250,"59.81",99,"47.60","1.58","2020-04-10 10:17:34.34",
93,"80 이상",474,"4.54",101,"48.56","21.31","2020-04-10 10:17:34.34",
94,"70-79",694,"6.64",62,"29.81","8.93","2020-04-10 10:17:34.34",
95,"60-69",1320,"12.63",28,"13.46","2.12","2020-04-10 10:17:34.34",
96,"50-59",1920,"18.37",13,"6.25","0.68","2020-04-10 10:17:34.34",
97,"40-49",1396,"13.36",3,"1.44","0.21","2020-04-10 10:17:34.34",
98,"30-39",1113,"10.65",1,"0.48","0.09","2020-04-10 10:17:34.34",
99,"20-29",2851,"27.28",,"0.00",,"2020-04-10 10:17:34.34",
100,"10-19",553,"5.29",,"0.00",,"2020-04-10 10:17:34.34",
101,"0-9",129,"1.23",,"0.00",,"2020-04-10 10:17:34.34",
102,"남성",4215,"40.22",111,"52.61","2.63","2020-04-11 10:29:51.51",
103,"여성",6265,"59.78",100,"47.39","1.6","2020-04-11 10:29:51.51",
104,"80 이상",475,"4.53",101,"47.87","21.26","2020-04-11 10:29:51.51",
105,"70-79",694,"6.62",63,"29.86","9.08","2020-04-11 10:29:51.51",
106,"60-69",1327,"12.66",29,"13.74","2.19","2020-04-11 10:29:51.51",
107,"50-59",1926,"18.38",14,"6.64","0.73","2020-04-11 10:29:51.51",
108,"40-49",1399,"13.35",3,"1.42","0.21","2020-04-11 10:29:51.51",
109,"30-39",1115,"10.64",1,"0.47","0.09","2020-04-11 10:29:51.51",
110,"20-29",2856,"27.25",,"0.00",,"2020-04-11 10:29:51.51",
111,"10-19",558,"5.32",,"0.00",,"2020-04-11 10:29:51.51",
112,"0-9",130,"1.24",,"0.00",,"2020-04-11 10:29:51.51",
113,"남성",4229,"40.23",113,"52.80","2.67","2020-04-12 10:22:13.13",
114,"여성",6283,"59.77",101,"47.20","1.61","2020-04-12 10:22:13.13",
115,"80 이상",475,"4.52",102,"47.66","21.47","2020-04-12 10:22:13.13",
116,"70-79",697,"6.63",63,"29.44","9.04","2020-04-12 10:22:13.13",
117,"60-69",1330,"12.65",31,"14.49","2.33","2020-04-12 10:22:13.13",
118,"50-59",1930,"18.36",14,"6.54","0.73","2020-04-12 10:22:13.13",
119,"40-49",1400,"13.32",3,"1.40","0.21","2020-04-12 10:22:13.13",
120,"30-39",1120,"10.65",1,"0.47","0.09","2020-04-12 10:22:13.13",
121,"20-29",2869,"27.29",,"0.00",,"2020-04-12 10:22:13.13",
122,"10-19",561,"5.34",,"0.00",,"2020-04-12 10:22:13.13",
123,"0-9",130,"1.24",,"0.00",,"2020-04-12 10:22:13.13",
124,"남성",4243,"40.27",115,"53.00","2.71","2020-04-13 10:22:30.30",
125,"여성",6294,"59.73",102,"47.00","1.62","2020-04-13 10:22:30.30",
126,"80 이상",476,"4.52",103,"47.47","21.64","2020-04-13 10:22:30.30",
127,"70-79",698,"6.62",64,"29.49","9.17","2020-04-13 10:22:30.30",
128,"60-69",1335,"12.67",32,"14.75","2.4","2020-04-13 10:22:30.30",
129,"50-59",1932,"18.34",14,"6.45","0.72","2020-04-13 10:22:30.30",
130,"40-49",1401,"13.3",3,"1.38","0.21","2020-04-13 10:22:30.30",
131,"30-39",1122,"10.65",1,"0.46","0.09","2020-04-13 10:22:30.30",
132,"20-29",2879,"27.32",,"0.00",,"2020-04-13 10:22:30.30",
133,"10-19",562,"5.33",,"0.00",,"2020-04-13 10:22:30.30",
134,"0-9",132,"1.25",,"0.00",,"2020-04-13 10:22:30.30",
135,"남성",4256,"40.29",116,"52.25","2.73","2020-04-14 10:24:23.23",
136,"여성",6308,"59.71",106,"47.75","1.68","2020-04-14 10:24:23.23",
137,"80 이상",477,"4.52",106,"47.75","22.22","2020-04-14 10:24:23.23",
138,"70-79",700,"6.63",65,"29.28","9.29","2020-04-14 10:24:23.23",
139,"60-69",1338,"12.67",33,"14.86","2.47","2020-04-14 10:24:23.23",
140,"50-59",1935,"18.32",14,"6.31","0.72","2020-04-14 10:24:23.23",
141,"40-49",1405,"13.3",3,"1.35","0.21","2020-04-14 10:24:23.23",
142,"30-39",1126,"10.66",1,"0.45","0.09","2020-04-14 10:24:23.23",
143,"20-29",2886,"27.32",,"0.00",,"2020-04-14 10:24:23.23",
144,"10-19",565,"5.35",,"0.00",,"2020-04-14 10:24:23.23",
145,"0-9",132,"1.25",,"0.00",,"2020-04-14 10:24:23.23",
146,"남성",4266,"40.28",118,"52.44","2.77","2020-04-15 15:44:18.18",
147,"여성",6325,"59.72",107,"47.56","1.69","2020-04-15 15:44:18.18",
148,"80 이상",478,"4.51",106,"47.11","22.18","2020-04-15 15:44:18.18",
149,"70-79",702,"6.63",68,"30.22","9.69","2020-04-15 15:44:18.18",
150,"60-69",1339,"12.64",33,"14.67","2.46","2020-04-15 15:44:18.18",
151,"50-59",1937,"18.29",14,"6.22","0.72","2020-04-15 15:44:18.18",
152,"40-49",1408,"13.29",3,"1.33","0.21","2020-04-15 15:44:18.18",
153,"30-39",1131,"10.68",1,"0.44","0.09","2020-04-15 15:44:18.18",
154,"20-29",2895,"27.33",,"0.00",,"2020-04-15 15:44:18.18",
155,"10-19",569,"5.37",,"0.00",,"2020-04-15 15:44:18.18",
156,"0-9",132,"1.25",,"0.00",,"2020-04-15 15:44:18.18",
157,"남성",4272,"40.25",122,"53.28","2.86","2020-04-16 11:05:01.01",
158,"여성",6341,"59.75",107,"46.72","1.69","2020-04-16 11:05:01.01",
159,"80 이상",480,"4.52",110,"48.03","22.92","2020-04-16 11:05:01.01",
160,"70-79",703,"6.62",68,"29.69","9.67","2020-04-16 11:05:01.01",
161,"60-69",1341,"12.64",33,"14.41","2.46","2020-04-16 11:05:01.01",
162,"50-59",1940,"18.28",14,"6.11","0.72","2020-04-16 11:05:01.01",
163,"40-49",1410,"13.29",3,"1.31","0.21","2020-04-16 11:05:01.01",
164,"30-39",1132,"10.67",1,"0.44","0.09","2020-04-16 11:05:01.01",
165,"20-29",2900,"27.32",,"0.00",,"2020-04-16 11:05:01.01",
166,"10-19",572,"5.39",,"0.00",,"2020-04-16 11:05:01.01",
167,"0-9",135,"1.27",,"0.00",,"2020-04-16 11:05:01.01",
168,"남성",4272,"40.25",122,"53.28","2.86","2020-04-16 16:10:09.09",
169,"여성",6341,"59.75",107,"46.72","1.69","2020-04-16 16:10:09.09",
170,"80 이상",480,"4.52",110,"48.03","22.92","2020-04-16 16:10:09.09",
171,"70-79",703,"6.62",68,"29.69","9.67","2020-04-16 16:10:09.09",
172,"60-69",1341,"12.64",33,"14.41","2.46","2020-04-16 16:10:09.09",
173,"50-59",1940,"18.28",14,"6.11","0.72","2020-04-16 16:10:09.09",
174,"40-49",1410,"13.29",3,"1.31","0.21","2020-04-16 16:10:09.09",
175,"30-39",1132,"10.67",1,"0.44","0.09","2020-04-16 16:10:09.09",
176,"20-29",2900,"27.32",,"0.00",,"2020-04-16 16:10:09.09",
177,"10-19",572,"5.39",,"0.00",,"2020-04-16 16:10:09.09",
178,"0-9",135,"1.27",,"0.00",,"2020-04-16 16:10:09.09",
179,"남성",4286,"40.3",122,"53.04","2.85","2020-04-17 10:35:19.19",
180,"여성",6349,"59.7",108,"46.96","1.7","2020-04-17 10:35:19.19",
181,"80 이상",480,"4.51",111,"48.26","23.13","2020-04-17 10:35:19.19",
182,"70-79",704,"6.62",68,"29.57","9.66","2020-04-17 10:35:19.19",
183,"60-69",1342,"12.62",33,"14.35","2.46","2020-04-17 10:35:19.19",
184,"50-59",1942,"18.26",14,"6.09","0.72","2020-04-17 10:35:19.19",
185,"40-49",1411,"13.27",3,"1.30","0.21","2020-04-17 10:35:19.19",
186,"30-39",1135,"10.67",1,"0.43","0.09","2020-04-17 10:35:19.19",
187,"20-29",2909,"27.35",,"0.00",,"2020-04-17 10:35:19.19",
188,"10-19",576,"5.42",,"0.00",,"2020-04-17 10:35:19.19",
189,"0-9",136,"1.28",,"0.00",,"2020-04-17 10:35:19.19",
190,"남성",4293,"40.3",124,"53.45","2.89","2020-04-18 10:45:43.43",
191,"여성",6360,"59.7",108,"46.55","1.7","2020-04-18 10:45:43.43",
192,"80 이상",481,"4.52",112,"48.28","23.28","2020-04-18 10:45:43.43",
193,"70-79",705,"6.62",68,"29.31","9.65","2020-04-18 10:45:43.43",
194,"60-69",1343,"12.61",33,"14.22","2.46","2020-04-18 10:45:43.43",
195,"50-59",1944,"18.25",15,"6.47","0.77","2020-04-18 10:45:43.43",
196,"40-49",1412,"13.25",3,"1.29","0.21","2020-04-18 10:45:43.43",
197,"30-39",1136,"10.66",1,"0.43","0.09","2020-04-18 10:45:43.43",
198,"20-29",2918,"27.39",,"0.00",,"2020-04-18 10:45:43.43",
199,"10-19",576,"5.41",,"0.00",,"2020-04-18 10:45:43.43",
200,"0-9",138,"1.3",,"0.00",,"2020-04-18 10:45:43.43",
201,"남성",4297,"40.31",124,"52.99","2.89","2020-04-19 10:54:13.13",
202,"여성",6364,"59.69",110,"47.01","1.73","2020-04-19 10:54:13.13",
203,"80 이상",482,"4.52",112,"47.86","23.24","2020-04-19 10:54:13.13",
204,"70-79",705,"6.61",68,"29.06","9.65","2020-04-19 10:54:13.13",
205,"60-69",1343,"12.6",34,"14.53","2.53","2020-04-19 10:54:13.13",
206,"50-59",1945,"18.24",15,"6.41","0.77","2020-04-19 10:54:13.13",
207,"40-49",1412,"13.24",3,"1.28","0.21","2020-04-19 10:54:13.13",
208,"30-39",1137,"10.67",2,"0.85","0.18","2020-04-19 10:54:13.13",
209,"20-29",2921,"27.4",,"0.00",,"2020-04-19 10:54:13.13",
210,"10-19",578,"5.42",,"0.00",,"2020-04-19 10:54:13.13",
211,"0-9",138,"1.29",,"0.00",,"2020-04-19 10:54:13.13",
212,"남성",4297,"40.31",124,"52.99","2.89","2020-04-19 11:07:32.32",
213,"여성",6364,"59.69",110,"47.01","1.73","2020-04-19 11:07:32.32",
214,"80 이상",482,"4.52",112,"47.86","23.24","2020-04-19 11:07:32.32",
215,"70-79",705,"6.61",68,"29.06","9.65","2020-04-19 11:07:32.32",
216,"60-69",1343,"12.6",34,"14.53","2.53","2020-04-19 11:07:32.32",
217,"50-59",1945,"18.24",15,"6.41","0.77","2020-04-19 11:07:32.32",
218,"40-49",1412,"13.24",3,"1.28","0.21","2020-04-19 11:07:32.32",
219,"30-39",1137,"10.67",2,"0.85","0.18","2020-04-19 11:07:32.32",
220,"20-29",2921,"27.4",,"0.00",,"2020-04-19 11:07:32.32",
221,"10-19",578,"5.42",,"0.00",,"2020-04-19 11:07:32.32",
222,"0-9",138,"1.29",,"0.00",,"2020-04-19 11:07:32.32",
223,"남성",4302,"40.3",125,"52.97","2.91","2020-04-20 10:28:12.12",
224,"여성",6372,"59.7",111,"47.03","1.74","2020-04-20 10:28:12.12",
225,"80 이상",482,"4.52",113,"47.88","23.44","2020-04-20 10:28:12.12",
226,"70-79",705,"6.6",69,"29.24","9.79","2020-04-20 10:28:12.12",
227,"60-69",1343,"12.58",34,"14.41","2.53","2020-04-20 10:28:12.12",
228,"50-59",1948,"18.25",15,"6.36","0.77","2020-04-20 10:28:12.12",
229,"40-49",1412,"13.23",3,"1.27","0.21","2020-04-20 10:28:12.12",
230,"30-39",1139,"10.67",2,"0.85","0.18","2020-04-20 10:28:12.12",
231,"20-29",2926,"27.41",,"0.00",,"2020-04-20 10:28:12.12",
232,"10-19",581,"5.44",,"0.00",,"2020-04-20 10:28:12.12",
233,"0-9",138,"1.29",,"0.00",,"2020-04-20 10:28:12.12",
234,"남성",4308,"40.33",125,"52.74","2.9","2020-04-21 10:16:42.42",
235,"여성",6375,"59.67",112,"47.26","1.76","2020-04-21 10:16:42.42",
236,"80 이상",483,"4.52",113,"47.68","23.4","2020-04-21 10:16:42.42",
237,"70-79",706,"6.61",70,"29.54","9.92","2020-04-21 10:16:42.42",
238,"60-69",1343,"12.57",34,"14.35","2.53","2020-04-21 10:16:42.42",
239,"50-59",1951,"18.26",15,"6.33","0.77","2020-04-21 10:16:42.42",
240,"40-49",1413,"13.23",3,"1.27","0.21","2020-04-21 10:16:42.42",
241,"30-39",1139,"10.66",2,"0.84","0.18","2020-04-21 10:16:42.42",
242,"20-29",2928,"27.41",,"0.00",,"2020-04-21 10:16:42.42",
243,"10-19",582,"5.45",,"0.00",,"2020-04-21 10:16:42.42",
244,"0-9",138,"1.29",,"0.00",,"2020-04-21 10:16:42.42",
267,"남성",4314,"40.34",126,"52.94","2.92","2020-04-22 10:21:54.54",
268,"여성",6380,"59.66",112,"47.06","1.76","2020-04-22 10:21:54.54",
269,"80 이상",483,"4.52",113,"47.48","23.4","2020-04-22 10:21:54.54",
270,"70-79",707,"6.61",71,"29.83","10.04","2020-04-22 10:21:54.54",
271,"60-69",1344,"12.57",34,"14.29","2.53","2020-04-22 10:21:54.54",
272,"50-59",1951,"18.24",15,"6.30","0.77","2020-04-22 10:21:54.54",
273,"40-49",1417,"13.25",3,"1.26","0.21","2020-04-22 10:21:54.54",
274,"30-39",1140,"10.66",2,"0.84","0.18","2020-04-22 10:21:54.54",
275,"20-29",2931,"27.41",,"0.00",,"2020-04-22 10:21:54.54",
276,"10-19",583,"5.45",,"0.00",,"2020-04-22 10:21:54.54",
277,"0-9",138,"1.29",,"0.00",,"2020-04-22 10:21:54.54",
289,"남성",4318,"40.35",127,"52.92","2.94","2020-04-23 10:12:14.14",
290,"여성",6384,"59.65",113,"47.08","1.77","2020-04-23 10:12:14.14",
291,"80 이상",484,"4.52",114,"47.50","23.55","2020-04-23 10:12:14.14",
292,"70-79",708,"6.62",71,"29.58","10.03","2020-04-23 10:12:14.14",
293,"60-69",1344,"12.56",35,"14.58","2.6","2020-04-23 10:12:14.14",
294,"50-59",1952,"18.24",15,"6.25","0.77","2020-04-23 10:12:14.14",
295,"40-49",1418,"13.25",3,"1.25","0.21","2020-04-23 10:12:14.14",
296,"30-39",1141,"10.66",2,"0.83","0.18","2020-04-23 10:12:14.14",
297,"20-29",2933,"27.41",,"0.00",,"2020-04-23 10:12:14.14",
298,"10-19",584,"5.46",,"0.00",,"2020-04-23 10:12:14.14",
299,"0-9",138,"1.29",,"0.00",,"2020-04-23 10:12:14.14",
311,"남성",4323,"40.37",127,"52.92","2.94","2020-04-24 10:12:54.54",
312,"여성",6385,"59.63",113,"47.08","1.77","2020-04-24 10:12:54.54",
313,"80 이상",485,"4.53",114,"47.50","23.51","2020-04-24 10:12:54.54",
314,"70-79",708,"6.61",71,"29.58","10.03","2020-04-24 10:12:54.54",
315,"60-69",1345,"12.56",35,"14.58","2.6","2020-04-24 10:12:54.54",
316,"50-59",1953,"18.24",15,"6.25","0.77","2020-04-24 10:12:54.54",
317,"40-49",1418,"13.24",3,"1.25","0.21","2020-04-24 10:12:54.54",
318,"30-39",1142,"10.66",2,"0.83","0.18","2020-04-24 10:12:54.54",
319,"20-29",2934,"27.4",,"0.00",,"2020-04-24 10:12:54.54",
320,"10-19",585,"5.46",,"0.00",,"2020-04-24 10:12:54.54",
321,"0-9",138,"1.29",,"0.00",,"2020-04-24 10:12:54.54",
333,"남성",4327,"40.37",127,"52.92","2.94","2020-04-25 10:40:12.12",
334,"여성",6391,"59.63",113,"47.08","1.77","2020-04-25 10:40:12.12",
335,"80 이상",485,"4.53",114,"47.50","23.51","2020-04-25 10:40:12.12",
336,"70-79",708,"6.61",71,"29.58","10.03","2020-04-25 10:40:12.12",
337,"60-69",1347,"12.57",35,"14.58","2.6","2020-04-25 10:40:12.12",
338,"50-59",1953,"18.22",15,"6.25","0.77","2020-04-25 10:40:12.12",
339,"40-49",1420,"13.25",3,"1.25","0.21","2020-04-25 10:40:12.12",
340,"30-39",1143,"10.66",2,"0.83","0.17","2020-04-25 10:40:12.12",
341,"20-29",2937,"27.4",,"0.00",,"2020-04-25 10:40:12.12",
342,"10-19",586,"5.47",,"0.00",,"2020-04-25 10:40:12.12",
343,"0-9",139,"1.3",,"0.00",,"2020-04-25 10:40:12.12",
355,"남성",4333,"40.39",127,"52.48","2.93","2020-04-26 10:14:44.44",
356,"여성",6395,"59.61",115,"47.52","1.8","2020-04-26 10:14:44.44",
357,"80 이상",485,"4.52",115,"47.52","23.71","2020-04-26 10:14:44.44",
358,"70-79",708,"6.6",72,"29.75","10.17","2020-04-26 10:14:44.44",
359,"60-69",1347,"12.56",35,"14.46","2.6","2020-04-26 10:14:44.44",
360,"50-59",1953,"18.2",15,"6.20","0.77","2020-04-26 10:14:44.44",
361,"40-49",1421,"13.25",3,"1.24","0.21","2020-04-26 10:14:44.44",
362,"30-39",1147,"10.69",2,"0.83","0.17","2020-04-26 10:14:44.44",
363,"20-29",2940,"27.4",,"0.00",,"2020-04-26 10:14:44.44",
364,"10-19",586,"5.46",,"0.00",,"2020-04-26 10:14:44.44",
365,"0-9",141,"1.31",,"0.00",,"2020-04-26 10:14:44.44",
377,"남성",4337,"40.39",127,"52.26","2.93","2020-04-27 10:14:06.06",
378,"여성",6401,"59.61",116,"47.74","1.81","2020-04-27 10:14:06.06",
379,"80 이상",485,"4.52",116,"47.74","23.92","2020-04-27 10:14:06.06",
380,"70-79",708,"6.59",72,"29.63","10.17","2020-04-27 10:14:06.06",
381,"60-69",1347,"12.54",35,"14.40","2.6","2020-04-27 10:14:06.06",
382,"50-59",1953,"18.19",15,"6.17","0.77","2020-04-27 10:14:06.06",
383,"40-49",1422,"13.24",3,"1.23","0.21","2020-04-27 10:14:06.06",
384,"30-39",1152,"10.73",2,"0.82","0.17","2020-04-27 10:14:06.06",
385,"20-29",2943,"27.41",,"0.00",,"2020-04-27 10:14:06.06",
386,"10-19",588,"5.48",,"0.00",,"2020-04-27 10:14:06.06",
387,"0-9",140,"1.3",,"0.00",,"2020-04-27 10:14:06.06",
399,"남성",4344,"40.4",128,"52.46","2.95","2020-04-28 10:24:17.932","null"
400,"여성",6408,"59.6",116,"47.54","1.81","2020-04-28 10:24:17.932","null"
401,"80 이상",485,"4.51",116,"47.54","23.92","2020-04-28 10:24:17.932","null"
402,"70-79",709,"6.59",73,"29.92","10.3","2020-04-28 10:24:17.932","null"
403,"60-69",1348,"12.54",35,"14.34","2.6","2020-04-28 10:24:17.932","null"
404,"50-59",1955,"18.18",15,"6.15","0.77","2020-04-28 10:24:17.932","null"
405,"40-49",1423,"13.23",3,"1.23","0.21","2020-04-28 10:24:17.932","null"
406,"30-39",1154,"10.73",2,"0.82","0.17","2020-04-28 10:24:17.933","null"
407,"20-29",2948,"27.42",,"0.00",,"2020-04-28 10:24:17.933","null"
408,"10-19",590,"5.49",,"0.00",,"2020-04-28 10:24:17.933","null"
409,"0-9",140,"1.3",,"0.00",,"2020-04-28 10:24:17.933","null"
421,"남성",4348,"40.41",129,"52.44","2.97","2020-04-29 10:27:13.131","null"
422,"여성",6413,"59.59",117,"47.56","1.82","2020-04-29 10:27:13.131","null"
423,"80 이상",485,"4.51",118,"47.97","24.33","2020-04-29 10:27:13.131","null"
424,"70-79",709,"6.59",73,"29.67","10.3","2020-04-29 10:27:13.131","null"
425,"60-69",1348,"12.53",35,"14.23","2.6","2020-04-29 10:27:13.131","null"
426,"50-59",1956,"18.18",15,"6.10","0.77","2020-04-29 10:27:13.131","null"
427,"40-49",1426,"13.25",3,"1.22","0.21","2020-04-29 10:27:13.131","null"
428,"30-39",1156,"10.74",2,"0.81","0.17","2020-04-29 10:27:13.131","null"
429,"20-29",2951,"27.42",,"0.00",,"2020-04-29 10:27:13.132","null"
430,"10-19",590,"5.48",,"0.00",,"2020-04-29 10:27:13.132","null"
431,"0-9",140,"1.3",,"0.00",,"2020-04-29 10:27:13.132","null"
443,"남성",4352,"40.43",130,"52.63","2.99","2020-04-30 10:14:04.188","null"
444,"여성",6413,"59.57",117,"47.37","1.82","2020-04-30 10:14:04.189","null"
445,"80 이상",485,"4.51",118,"47.77","24.33","2020-04-30 10:14:04.189","null"
446,"70-79",709,"6.59",74,"29.96","10.44","2020-04-30 10:14:04.189","null"
447,"60-69",1348,"12.52",35,"14.17","2.6","2020-04-30 10:14:04.189","null"
448,"50-59",1956,"18.17",15,"6.07","0.77","2020-04-30 10:14:04.189","null"
449,"40-49",1427,"13.26",3,"1.21","0.21","2020-04-30 10:14:04.189","null"
450,"30-39",1158,"10.76",2,"0.81","0.17","2020-04-30 10:14:04.189","null"
451,"20-29",2952,"27.42",,"0.00",,"2020-04-30 10:14:04.189","null"
452,"10-19",590,"5.48",,"0.00",,"2020-04-30 10:14:04.189","null"
453,"0-9",140,"1.3",,"0.00",,"2020-04-30 10:14:04.19","null"
